motor_model,reduction_ratio,rated_voltage_v,no_load_speed_rpm,no_load_current_a,rated_load_speed_rpm,rated_load_current_a,rated_load_torque_kg_cm,rated_power_w,stall_torque_kg_cm,stall_current_a,gearbox_length_mm,weight_g,output_direction,starting_voltage_v
JGB37-3650-2480,6.25,24,1280,0.25,970,1,1.00,24.00,4.7,5.1,19,275,CCW,6
JGB37-3650-2480,10,24,800,0.25,600,1,1.70,24.00,7.6,5.0,19,275,CCW,6
JGB37-3650-2480,18.8,24,425,0.25,326,1,3.00,24.00,14.0,5.0,22,280,CW,6
JGB37-3650-2480,30,24,266,0.25,212,1,4.80,24.00,22.8,5.0,22,280,CW,6
JGB37-3650-2480,56,24,142,0.25,111,1,8.50,24.00,35.0,5.0,24,285,CCW,6
JGB37-3650-2480,70,24,114,0.25,91,1,10.00,24.00,40.0,4.9,24,285,CCW,6
JGB37-3650-2480,90,24,88,0.25,67,1,12.50,24.00,50.0,4.9,24,285,CCW,6
JGB37-3650-2480,131,24,61,0.25,50,1,17.50,24.00,70.0,4.9,24,285,CW,6
JGB37-3650-2480,169,24,47,0.25,36,1,22.60,24.00,90.0,4.9,26.5,285,CW,6
JGB37-3650-2480,210,24,38,0.25,29,1,25.00,24.00,100.0,4.9,26.5,285,CW,6
JGB37-3650-2480,270,24,29,0.25,25,1,30.00,24.00,120.0,4.9,26.5,285,CW,6
JGB37-3650-2480,394,24,20,0.25,16,1,35.00,24.00,140.0,4.9,26.5,290,CCW,6
JGB37-3650-2480,506,24,16,0.25,13,1,40.00,24.00,160.0,4.9,29,290,CCW,6
JGB37-3650-2480,630,24,12,0.25,10,1,40.00,24.00,160.0,4.9,29,290,CCW,6
JGB37-3650-2480,810,24,10,0.25,9,1,40.00,24.00,160.0,4.9,29,290,CCW,6